Price,Open,High,Low,Vol.,Change %
7963.2,7938.45,7972.55,7909.8,64.84K,0.21%
7946.35,7897.8,7955.55,7891.15,155.65K,0.63%
7896.25,7938.6,7944.75,7889.85,110.15K,-0.41%
7928.95,7929.2,7942.15,7902.75,116.54K,0.05%
7925.15,7863.2,7937.2,7863,126.74K,0.82%
7861.05,7888.75,7888.75,7835.5,96.37K,-0.06%
7865.95,7830.45,7871.45,7826.1,121.48K,1.03%
7786.1,7829.4,7846.3,7776.85,129.63K,-0.62%
7834.45,7745.65,7840.75,7733.45,130.17K,0.93%
7761.95,7828.9,7836.15,7753.35,197.32K,-1.05%
7844.35,7783.05,7852.9,7737.55,181.26K,1.21%
7750.9,7725.25,7776.6,7715.75,159.15K,0.65%
7700.9,7659.15,7705,7625.1,138.48K,0.66%
7650.05,7558.2,7663.95,7551.05,153.49K,0.52%
7610.45,7699.6,7703.05,7575.3,173.00K,-0.95%
7683.3,7643.3,7691.95,7610,145.25K,0.93%
7612.5,7695.5,7702.85,7606.9,144.32K,-1.16%
7701.7,7738.5,7771.25,7685.45,139.32K,-0.82%
7765.4,7816.55,7825.4,7746.05,141.89K,-0.21%
7781.9,7817.6,7821.4,7775.7,157.23K,-1.05%
7864.15,7902.3,7912.3,7853.3,129.63K,-0.85%
7931.35,7976.7,7979.3,7910.8,130.21K,-0.30%
7954.9,7958.15,7972.15,7934.15,142.95K,0.25%
7935.25,7936.25,7966,7922.8,223.04K,-0.09%
7942.7,7910.6,7959.3,7879.45,154.86K,0.75%
7883.8,7837.15,7897.1,7832,226.63K,0.67%
7831.6,7837,7870.35,7812.65,134.56K,-0.22%
7849.25,7869.5,7877.5,7825.2,130.87K,-0.09%
7856.55,7841.9,7906.95,7817.8,156.61K,0.18%
7842.75,7788.5,7854.9,7765.45,136.70K,1.43%
7731.8,7823.15,7843.4,7725.05,148.04K,-1.35%
7837.55,7848.75,7860.45,7793,149.45K,0.40%
7806.6,7732.95,7838.85,7714.15,154.14K,0.57%
7762.25,7762.45,7775.1,7730.9,165.88K,-0.27%
7783.35,7783.35,7783.35,7783.35,-,0.00%
7783.35,7877.6,7885.1,7772.85,170.27K,-1.67%
7915.2,7788.25,7937.75,7771.7,218.42K,-0.49%
7954.3,7956.55,8002.65,7926.15,226.33K,-0.01%
7955.45,8030.35,8031.2,7944.1,136.22K,-1.05%
8040.2,8104.9,8116.1,8027.3,125.94K,-0.25%
8060.7,8086.35,8100.35,8031.75,136.63K,0.12%
8050.8,8054.55,8060.7,7995.6,140.32K,-0.19%
8065.8,8123.55,8146.1,8044.4,205.66K,-0.57%
8111.75,8175.45,8179.6,8098,224.23K,-0.73%
8171.2,8188.9,8209.1,8131.8,194.71K,-0.75%
8232.9,8230.35,8241.95,8217.05,161.49K,-0.33%
8260.55,8333.65,8336.3,8252.05,138.01K,-0.42%
8295.45,8308.25,8328.1,8280.75,156.66K,0.53%
8251.7,8258.35,8294.4,8217.15,149.27K,-0.12%
8261.65,8280.3,8294.05,8229.2,159.95K,-0.16%
8275.05,8262.55,8283.05,8239.2,128.30K,0.45%
8238.15,8193.65,8246.4,8147.65,161.15K,0.72%
8179.5,8134.35,8190.55,8129.8,172.43K,0.88%
8107.9,8102.4,8139.3,8096.35,143.16K,-0.29%
8131.7,8121.95,8150.25,8088.6,150.43K,-0.15%
8143.6,8231.5,8244.5,8128.2,205.26K,-0.56%
8189.7,8186.35,8232.2,8139.65,205.86K,0.74%
8129.35,8196.75,8196.75,8105.85,177.03K,-0.59%
8177.4,8146.2,8188.9,8132.9,199.91K,0.30%
8152.9,8180.45,8180.95,8096.5,184.04K,0.41%
8119.3,8005.1,8128.9,8005.1,188.83K,2.12%
7950.9,7992.05,8008.25,7930.65,161.81K,0.03%
7948.9,7924.25,7957.7,7874.5,217.19K,1.35%
7843.3,7725.7,7926.55,7691.2,248.11K,0.61%
7795.7,7892.8,7893.95,7787.95,140.48K,-0.93%
7868.5,7838.4,7894.5,7804.1,208.77K,0.29%
7845.95,7737.35,7882.9,7723.25,151.20K,0.43%
