Close,Open,High,Low
3246.15,3262.01,3299.98,3236.76
3269.16,3243.84,3280.43,3243.32
3308.02,3282.68,3309.38,3272.21
3375.74,3323.55,3393.66,3323.55
3401.8,3377.13,3438.86,3377.13
3437.78,3407.57,3454.5,3397.16
3400.89,3440.44,3466.73,3392.61
3381.96,3396.09,3413.25,3371.91
3362.88,3381.41,3401.8,3298.85
3407.84,3373.69,3446.92,3373.69
3352.52,3405.9,3413.02,3340.01
3348.8,3357.17,3393.34,3331.4
3401.15,3348.8,3420.24,3309.97
3377.05,3408.28,3439.83,3366.14
3382.29,3370.5,3396.92,3369.73
3368.28,3383,3402.92,3365.01
3373.07,3368.91,3397.76,3365.53
3357.79,3380.75,3399.09,3352.84
3332.3,3358.2,3366,3326.02
3317.64,3338.37,3363.17,3312.74
3313.28,3317.61,3332.56,3304.12
3298.79,3302.73,3309.98,3275.58
3311.03,3305.91,3339.98,3303.01
3333.92,3334.69,3356.05,3325.98
3317.01,3336.17,3353.29,3312.55
3311.73,3316.42,3322.43,3290
3427.39,3329.23,3433.02,3329.23
3436.94,3439.62,3495.83,3423.31
3493.92,3444.89,3514.75,3444.87
3515.45,3500.41,3551.95,3500.41
3497.68,3523.3,3554.73,3480.1
3519.87,3504.89,3535.57,3504.89
3557.06,3544.32,3564.35,3536.35
3602.02,3560.98,3612.83,3560.98
3633.93,3611.32,3651.02,3586.78
3597.61,3641.78,3652.76,3588.93
3558.21,3572.96,3583.17,3542.06
3570.46,3569.95,3590.99,3558.82
3604.08,3565.64,3605.59,3558.09
3613.51,3610.21,3618.3,3580.89
3712.74,3631.55,3726.76,3631.55
3705.66,3721.44,3758.11,3677.62
3562.31,3711.1,3731.28,3537.19
3678.75,3551.56,3693.92,3551.56
3642.58,3734.04,3758.27,3635.38
3641.1,3655.08,3692.53,3634.26
3614.44,3647.09,3656.87,3585.83
3690.27,3621.07,3691.93,3621.07
3656.77,3692.61,3703.79,3645.9
3603.97,3675.26,3675.26,3594.6
3535.8,3603.16,3603.16,3522.91
3569.62,3531.48,3601.82,3531.02
3580.83,3573.98,3590.43,3562.17
3617.68,3593.56,3626.33,3590.34
3613.28,3633.37,3663.4,3603.98
3560.32,3618.39,3629.48,3554.65
3581.32,3576.23,3587.2,3556.74
3536.26,3580.23,3582.55,3530.01
3516.11,3555.38,3555.38,3506.55
3466.29,3517.36,3566.08,3461.09
3459.08,3472.96,3503.8,3454.27
3469.35,3464.32,3499.53,3462.12
3500.18,3482.94,3519.32,3482.94
3505.79,3505.4,3537.29,3490.87
3462.99,3500.76,3500.76,3458.85
3512.55,3463.29,3529.02,3463.29
3500.57,3516.43,3538.49,3499.06
3480.17,3502.09,3521.41,3478.93
3463.33,3482.51,3491.6,3447.78
3479.59,3465.39,3494.19,3460.03
3497.67,3482.44,3512.28,3482.44
3510.9,3496.39,3521.42,3488.62
3461.51,3514.01,3533.02,3454.98
3413.72,3459.08,3459.08,3411.73
3421.82,3444.09,3458.79,3412.71
3420.94,3425.71,3439.47,3408.04
3364.4,3420.04,3430.37,3359.24
3390.25,3364.18,3396.52,3332.74
3403.82,3387.7,3412.16,3383.11
3411.92,3408.84,3420.97,3401.55
3359.64,3420.62,3421.88,3350.94
3371.7,3364.18,3383.71,3362.83
3301.21,3372.94,3372.94,3296.88
3338.16,3303.1,3340.36,3303.1
3372.56,3361.33,3383.93,3357.76
3380.61,3372.75,3385.22,3364.85
3384.35,3386.01,3394.89,3375.7
3423.75,3378.22,3425.5,3372.24
3435.06,3434.24,3453.73,3432.54
3462.01,3458.31,3478.02,3448.37
3431.32,3454.85,3456.78,3414.37
3442.49,3436.87,3446.51,3429.88
3420.33,3450.58,3458.58,3412
3395.59,3422.07,3435.68,3382.11
3355.61,3399.14,3405.29,3342.34
3333.76,3357.29,3373.4,3310.86
3282.81,3343.66,3361.77,3274.62
3186.53,3266.16,3266.16,3127.87
3175.49,3187.54,3198.81,3144.18
3114.05,3193.64,3193.64,3106.56
3255.62,3153.03,3261.9,3153.03
3243.41,3264.19,3264.19,3200.94
3146.83,3231.82,3231.82,3140.38
3160.24,3155.67,3179.85,3108
3135.89,3161.9,3192.5,3131.63
3125.73,3136.41,3140.03,3097.73
3161.09,3162.27,3185.57,3148.57
3191.6,3161.43,3195.56,3161.43
3255.52,3200.71,3269.24,3200.71
3259.31,3277.35,3282.35,3229.38
3217.76,3246.97,3246.97,3205.51
3279.49,3231.09,3283.25,3231.09
3362.42,3339.96,3368.56,3323.37
3344.41,3359.27,3377.88,3337.39
3311.16,3358.97,3369.63,3307.16
3312.07,3312.05,3321.92,3295.64
3323.5,3350.03,3350.44,3318.7
3284.54,3337.32,3361.73,3282.32
3242.26,3284.32,3306.11,3222.23
3264.02,3223.47,3276.06,3223.47
3242.75,3268.1,3268.1,3232.66
3231.62,3238.37,3238.37,3210.95
3214.34,3226.21,3244.33,3193.68
3180.89,3200.79,3206.87,3176.05
3217.15,3199.03,3221.6,3189.96
3244.7,3231.24,3252.65,3222.09
3288.71,3246.44,3293.21,3246.44
3285.04,3276.21,3296.87,3274.03
3310.19,3283.03,3314.23,3279.83
3316.77,3322.31,3337.69,3313.74
3330.61,3322.14,3334.87,3309.61
3357.66,3336.14,3366.72,3332.12
3358.58,3356.85,3361.92,3343.1
3332.36,3359.47,3366.74,3328.2
3290.56,3332.15,3332.15,3287.91
3305.83,3296.3,3318.33,3293.66
3278.71,3302.64,3305.85,3258.72
3229.18,3279.5,3286.94,3224.35
3216.07,3232.39,3236.68,3192.67
3245.74,3224.23,3253.4,3215.33
3230.27,3239.66,3250.59,3227.27
3153.34,3212.83,3212.83,3147.37
3176.93,3142.48,3179.08,3135.39
3107.48,3163.45,3167.6,3105.2
3094.96,3149.18,3169.96,3091.33
3024.35,3079.33,3084.34,3011.89
3030.06,3039.56,3039.56,2955.1
2990.91,3043.23,3080.7,2983.1
2987.65,2981.05,2998.34,2932.35
2975.81,2998.46,3018.52,2965.97
2985.01,2960.48,2992.19,2933.39
3011.35,2996.89,3018.71,2980.49
3023.26,2997.96,3026.98,2981.51
3009.48,3042.28,3055.22,3004.12
2950.09,3014.68,3019.49,2945.5
2976.34,2974.68,2982.51,2931.78
3007.85,2972.59,3014.3,2972.59
3036.4,3009.48,3066.7,3009.48
3020.7,3032.99,3037.37,3013.16
3065.9,3031.24,3070.86,3031.24
3064.04,3073.13,3079.99,3061.39
3089.58,3071.13,3094.8,3067.92
3084.38,3083.82,3109.91,3082.02
3080.7,3094.18,3109.72,3077.89
3119.18,3083,3120.69,3083
3123.6,3119,3130.78,3110.93
3097.85,3128.41,3142.52,3093.9
3099.38,3093.66,3103.38,3078.13
3114.16,3099.12,3117.53,3091.56
3181.23,3110.98,3185.08,3109.97
3187.26,3206.81,3227.62,3179.33
3159.77,3190.2,3193.44,3150.1
3173.35,3145.34,3180.6,3126.75
3181.47,3185.32,3197.29,3166.22
3141.11,3176.15,3177.49,3131.15
3089.47,3121.9,3126.3,3081.63
3125.66,3096.93,3130.41,3096.93
3131.34,3125.55,3136.88,3120.45
3098.94,3115.98,3127.29,3093.71
3076.01,3107.89,3109.91,3072.43
3103.9,3078.16,3107.89,3078.16
3069.78,3084.02,3094.61,3062.43
3040.3,3071.1,3071.1,3027.5
3024.35,3010.14,3030.8,2993.78
3021.28,3030.65,3035.93,3008.5
3022.25,3005.92,3032.22,2993.01
3021.08,2973.97,3023.65,2973.97
3014.69,3011.42,3038.06,3011.42
3037.26,3020.23,3039.43,3012.82
2991.36,3029.56,3029.56,2988.43
2959.66,2976.04,2987.48,2948.75
2938.06,2963.61,2970.29,2921.69
2930.51,2934.67,2942.16,2916.38
2952.78,2939.18,2957.99,2927.47
2973.35,2954.29,2978.91,2953.95
2956.89,2982.01,2992.91,2953.13
2969.49,2954.13,2972.62,2934.76
2995.77,2990.99,3005.78,2989.06
3003.39,2996.16,3013.39,2993.25
2994.99,3024.99,3031.01,2991.92
3006.14,2995.7,3010.7,2980.14
3009.76,3027.9,3038.92,3002.12
2998.01,3012.18,3018.99,2992.54
2965.97,2999.54,3006.13,2963.02
2948.96,2961.75,2969.55,2941.29
2908.05,2944.28,2958.01,2906.2
2875.53,2903.96,2906.84,2855.9
2834.41,2876.32,2876.32,2828.48
2885.23,2846.8,2891.03,2846.8
2888.59,2898.02,2908.21,2884.21
2949.32,2904.91,2955.49,2900.87
2950.58,2956.94,2962.32,2928.63
2987.58,2986.54,2994.8,2974.93
2982.39,2993.58,2993.58,2967.19
2975.26,2983.74,2993.61,2958.32
2956.84,2965.19,2966.59,2950.71
2948.04,2954.99,2959.12,2942.46
2961.24,2941.54,2963.83,2935.97
2960.66,2972.35,2977.67,2957.19
2986.56,2963.82,2991.61,2963.82
3033.91,2997.47,3037.61,2997.47
3057.16,3046.9,3071.28,3041.34
3075.48,3056.18,3084.03,3056.18
3101.36,3089.51,3110.38,3089.51
3141.61,3121.17,3162.66,3121.17
3175.56,3146.93,3183.29,3140.31
3187.76,3190.67,3210.68,3181.25
3174.11,3193.13,3206.63,3158
3220.75,3192.12,3229.75,3192.12
3228.82,3224.98,3245.98,3195.6
3270.36,3247.6,3277.37,3238.89
3230.14,3276.7,3292.87,3223.03
3207.36,3243.86,3243.86,3188.78
3229.73,3186.62,3250.25,3186.62
3306.29,3235.68,3309.8,3235.68
3269.31,3320.87,3349.36,3264.76
3289.68,3256.63,3294.69,3241.4
3303.27,3298.94,3324.23,3287.28
3324.48,3316.84,3331.27,3299.48
3342.97,3335.28,3349.49,3329.21
