Price,Open,High,Low
7963.2,7938.45,7972.55,7909.8
7946.35,7897.8,7955.55,7891.15
7896.25,7938.6,7944.75,7889.85
7928.95,7929.2,7942.15,7902.75
7925.15,7863.2,7937.2,7863
7861.05,7888.75,7888.75,7835.5
7865.95,7830.45,7871.45,7826.1
7786.1,7829.4,7846.3,7776.85
7834.45,7745.65,7840.75,7733.45
7761.95,7828.9,7836.15,7753.35
7844.35,7783.05,7852.9,7737.55
7750.9,7725.25,7776.6,7715.75
7700.9,7659.15,7705,7625.1
7650.05,7558.2,7663.95,7551.05
7610.45,7699.6,7703.05,7575.3
7683.3,7643.3,7691.95,7610
7612.5,7695.5,7702.85,7606.9
7701.7,7738.5,7771.25,7685.45
7765.4,7816.55,7825.4,7746.05
7781.9,7817.6,7821.4,7775.7
7864.15,7902.3,7912.3,7853.3
7931.35,7976.7,7979.3,7910.8
7954.9,7958.15,7972.15,7934.15
7935.25,7936.25,7966,7922.8
7942.7,7910.6,7959.3,7879.45
7883.8,7837.15,7897.1,7832
7831.6,7837,7870.35,7812.65
7849.25,7869.5,7877.5,7825.2
7856.55,7841.9,7906.95,7817.8
7842.75,7788.5,7854.9,7765.45
7731.8,7823.15,7843.4,7725.05
7837.55,7848.75,7860.45,7793
7806.6,7732.95,7838.85,7714.15
7762.25,7762.45,7775.1,7730.9
7783.35,7783.35,7783.35,7783.35
7783.35,7877.6,7885.1,7772.85
7915.2,7788.25,7937.75,7771.7
7954.3,7956.55,8002.65,7926.15
7955.45,8030.35,8031.2,7944.1
8040.2,8104.9,8116.1,8027.3
8060.7,8086.35,8100.35,8031.75
8050.8,8054.55,8060.7,7995.6
8065.8,8123.55,8146.1,8044.4
8111.75,8175.45,8179.6,8098
8171.2,8188.9,8209.1,8131.8
8232.9,8230.35,8241.95,8217.05
8260.55,8333.65,8336.3,8252.05
8295.45,8308.25,8328.1,8280.75
8251.7,8258.35,8294.4,8217.15
8261.65,8280.3,8294.05,8229.2
8275.05,8262.55,8283.05,8239.2
8238.15,8193.65,8246.4,8147.65
8179.5,8134.35,8190.55,8129.8
8107.9,8102.4,8139.3,8096.35
8131.7,8121.95,8150.25,8088.6
8143.6,8231.5,8244.5,8128.2
8189.7,8186.35,8232.2,8139.65
8129.35,8196.75,8196.75,8105.85
8177.4,8146.2,8188.9,8132.9
8152.9,8180.45,8180.95,8096.5
8119.3,8005.1,8128.9,8005.1
7950.9,7992.05,8008.25,7930.65
7948.9,7924.25,7957.7,7874.5
7843.3,7725.7,7926.55,7691.2
7795.7,7892.8,7893.95,7787.95
7868.5,7838.4,7894.5,7804.1
7845.95,7737.35,7882.9,7723.25
7812,8014.8,8021.6,7787.75
7977.1,7911.5,7987.9,7908.35
7981.9,7967.45,8055,7955.85
7899.15,7886.85,7913.9,7853.3
7829.1,7867.35,7880,7799.75
7872.25,7811.1,7879.95,7761.85
7789.3,7833.8,7864.85,7759.9
7788.1,7729.05,7819.85,7678.5
7818.6,7805.85,7846.05,7764.55
7688.25,7587.7,7720.9,7539.5
7558.8,7685.85,7705.05,7545.9
7655.05,7803.4,7804.9,7626.85
7823,7774.45,7845.6,7754.05
7717,7856.65,7862.55,7699.25
7785.85,7907.95,7929.1,7746.5
7971.3,8009.25,8043.6,7947.95
8001.95,8053.7,8091.8,7961.65
7948.95,7921.6,7963.6,7862.3
7791.85,7865.25,7930.05,7777.1
7880.7,7895.4,7925.4,7667.25
7809,8055.95,8060.05,7769.4
8299.95,8305.4,8322.2,8225.05
8372.75,8471.05,8501.35,8359.75
8495.15,8468.05,8520.45,8425.95
8466.55,8505.85,8525.75,8433.6
8477.3,8530.5,8530.6,8428.05
8518.55,8402.35,8530.1,8381.2
8355.85,8384.45,8429.5,8339.75
8349.45,8445.7,8446.95,8337.95
8462.35,8548.45,8556.25,8441.3
8525.6,8577,8621.55,8497.8
8564.6,8580.8,8595.95,8552.7
8588.65,8585.8,8606.3,8551.5
8567.95,8547.45,8591.85,8545.85
8516.9,8564.1,8565.15,8448.25
8543.05,8510.65,8563.95,8508.1
8532.85,8456.1,8548.95,8448
8421.8,8417,8458.9,8408.3
8375.05,8365.6,8381.5,8338.45
8337,8371.1,8397.4,8321.75
8361,8492.1,8492.2,8351.55
8521.55,8588.15,8589.15,8513.5
8589.8,8643.95,8654.75,8573.8
8633.5,8512.25,8643.9,8498.65
8529.45,8601.5,8646.75,8517.9
8603.45,8623.9,8624.1,8559
8609.85,8623.65,8642.95,8593.15
8608.05,8546.15,8616.1,8542.9
8523.8,8463.4,8531.4,8462.95
8454.1,8470.6,8480.25,8424.1
8459.65,8397.25,8471.65,8355.4
8360.55,8365.7,8377.1,8315.4
8328.55,8364.85,8400.3,8323
8363.05,8439.2,8457.5,8341.4
8510.8,8525.5,8561.35,8483.85
8522.15,8386.15,8533.15,8386.15
8484.9,8440.1,8497.75,8424.15
8444.9,8471.95,8479.25,8433.2
8453.05,8376.25,8481.6,8370.15
8368.5,8316.35,8378,8298.95
8318.4,8247.05,8329.45,8195.65
8381.1,8393.95,8408.55,8339.7
8398,8336.25,8423.15,8329.5
8360.85,8399.4,8421.35,8338.9
8381.55,8377.45,8398.45,8334.95
8353.1,8259.3,8369.45,8257.4
8224.95,8201.15,8250.8,8195.65
8174.6,8113.7,8186.9,8101.8
8091.55,8084.2,8136.85,8048.95
8047.3,8004.2,8061.85,7952.35
8013.9,7986.6,8057.7,7944.85
7982.9,7959.85,7995.6,7940.3
7965.35,8157.3,8163.05,7958.25
8124.45,8024.15,8152.25,8023.8
8022.4,8026.5,8057.15,8005.15
8044.15,8124.35,8131,8030.55
8114.7,8119.15,8191,8100.15
8130.65,8155.15,8160.05,8056.75
8135.1,8232.45,8236.7,8094.15
8236.45,8442.8,8445.35,8226.05
8433.4,8417.25,8467.15,8405.4
8433.65,8327.1,8443.9,8305.7
8319,8345.7,8364.5,8270.15
8334.6,8302.75,8342.85,8277.95
8339.35,8377.1,8378.9,8320.05
8370.25,8438.15,8441.95,8364.15
8458.95,8432.5,8489.55,8420.6
8421,8434.5,8446.35,8382.5
8423.25,8392.65,8440.35,8391.45
8365.65,8356.2,8427.8,8335
8373.65,8284.95,8384.6,8271.95
8262.35,8240.3,8279.2,8212.2
8224.2,8232.45,8236.25,8137.3
8235.45,8181.55,8254.95,8089.8
8126.95,8326.15,8326.65,8115.3
8325.25,8243.2,8332.75,8224.65
8191.5,8131.5,8224.95,8123.45
8057.3,8077,8122.6,7997.15
8097,8316.6,8331.95,8083
8324.8,8338.4,8355.65,8280.6
8331.95,8230.05,8346,8220.45
8181.5,8224.5,8229.4,8144.75
8239.75,8274.8,8308.2,8219.2
8285.6,8215.55,8308,8185.15
8213.8,8330.55,8334.45,8202.35
8305.25,8405.7,8413.3,8273.35
8398.3,8478.2,8504.95,8361.85
8429.7,8400.4,8449.95,8284.7
8377.75,8416.1,8469.35,8352.7
8448.1,8618.8,8619.95,8422.75
8606,8698.05,8699.85,8596.7
8706.7,8757.05,8760,8645.65
8750.2,8844.75,8844.8,8722.4
8834,8801.75,8841.65,8762.1
8780.35,8774.35,8787.4,8733.6
8778.3,8756.2,8785.5,8682.45
8714.4,8698.95,8730.5,8679.8
8660.3,8684.45,8693.6,8586.85
8659.9,8615.8,8667.55,8573.75
8586.25,8483.7,8603.4,8464.75
8491,8527.6,8550.45,8454.15
8492.3,8390.95,8504.55,8380.75
8341.4,8396,8413.2,8269.15
8342.15,8474.95,8499.45,8325.35
8530.8,8568.9,8573.75,8516.55
8542.95,8537.05,8627.75,8535.85
8550.9,8591.55,8608.35,8540.55
8570.9,8627.9,8627.9,8553
8634.65,8749.45,8788.2,8614.65
8685.9,8742.9,8747.25,8664
8723.3,8689.1,8742.55,8630.8
8633.15,8656.75,8663.55,8612
8647.75,8844.05,8849.75,8631.75
8776,8740.65,8787.2,8732.9
8699.95,8728.75,8755.6,8682.35
8712.05,8769.75,8778,8677.35
8756.75,8891.15,8891.3,8740.45
8937.75,8929.4,8957.55,8849.35
8922.65,9109.15,9119.2,8893.95
8996.25,8962.85,9008.4,8925.55
8956.75,8953.85,8972.35,8885.45
8901.85,8844.6,8939.35,8752.45
8844.6,8729.5,8856.95,8717.45
8683.85,8779,8786.05,8669.45
8767.25,8801.9,8840.65,8751.4
8762.1,8772.9,8800.5,8726.75
8754.95,8856.85,8869,8736.1
8833.6,8895.5,8899.95,8816.3
8895.3,8883.05,8913.45,8794.45
8869.1,8811.55,8894.3,8808.9
8809.35,8831.4,8870.1,8793.4
8805.5,8741.5,8822.1,8729.65
8711.55,8676.95,8732.55,8599.25
8627.4,8603.3,8651.95,8593.65
8565.55,8478.1,8646.25,8470.5
8526.35,8584.4,8605.55,8516.35
8661.05,8696.85,8726.2,8645.55
8711.7,8733.1,8838.45,8683.65
8723.7,8789.15,8792.85,8704.4
8756.55,8823.15,8837.3,8726.65
8797.4,8802.5,8840.8,8751.1
8808.9,8996.6,8996.6,8775.1
8952.35,8901.5,8966.65,8861.25
8914.3,8902.75,8985.05,8874.05
8910.5,8871.35,8925.05,8825.45
8835.6,8827.95,8866.4,8795.4
8761.4,8745.85,8774.15,8727
8729.5,8719.65,8741.85,8689.6
8695.6,8575.1,8707.9,8574.5
8550.7,8550.05,8570.95,8531.5
8513.8,8504.05,8530.75,8452.25
8494.15,8424.5,8527.1,8380.55
